,product_id,fit,sustainable,product_name,product_price,color_name,style_id,color_id,scrapy_datetime,size_number,size_model,cotton,polyester,elastane,elasterell
43,427159007,skinny_fit,,trashed_skinny_jeans,18.99,black_washed_out,427159,7,2021-10-09 11:57:22,,,0.91,0.07,0.02,0.0
44,427159008,skinny_fit,,trashed_skinny_jeans,18.99,denim_blue,427159,8,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
45,427159010,skinny_fit,,trashed_skinny_jeans,39.99,white_denim,427159,10,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
46,427159011,skinny_fit,,trashed_skinny_jeans,24.99,light_blue_washed_out,427159,11,2021-10-09 11:57:22,,,0.93,0.06,0.01,0.0
47,427159017,skinny_fit,,trashed_skinny_jeans,24.99,super_light_denim_blue,427159,17,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
48,427159022,skinny_fit,,trashed_skinny_jeans,9.99,black_trashed,427159,22,2021-10-09 11:57:22,,,0.93,0.06,0.01,0.0
49,427159023,skinny_fit,,trashed_skinny_jeans,21.99,light_denim_blue,427159,23,2021-10-09 11:57:22,,,0.93,0.06,0.01,0.0
50,427159025,skinny_fit,,trashed_skinny_jeans,14.99,denim_blue_bleached,427159,25,2021-10-09 11:57:22,,,0.93,0.06,0.01,0.0
51,427159027,skinny_fit,,trashed_skinny_jeans,19.99,black_bleached,427159,27,2021-10-09 11:57:22,,,0.93,0.06,0.01,0.0
52,753512001,skinny_fit,,skinny_no_fade_black_jeans,29.99,black_no_fade_black,753512,1,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
53,1013317001,regular_fit,Recycled cotton 20%,hybrid_regular_tapered_joggers,39.99,light_denim_blue,1013317,1,2021-10-09 11:57:22,,,0.77,0.21,0.02,0.0
54,1013317002,regular_fit,Recycled cotton 19%,hybrid_regular_tapered_joggers,39.99,denim_blue,1013317,2,2021-10-09 11:57:22,189,,0.78,0.21,0.01,0.0
55,1013317004,regular_fit,Recycled cotton 20%,hybrid_regular_tapered_joggers,39.99,black,1013317,4,2021-10-09 11:57:22,,,0.78,0.21,0.01,0.0
56,985159003,skinny_fit,,skinny_jeans,19.99,dark_gray,985159,3,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
57,985159001,skinny_fit,,skinny_jeans,19.99,black,985159,1,2021-10-09 11:57:22,187,31/32,1.0,0.0,0.0,0.0
58,985159002,skinny_fit,,skinny_jeans,19.99,denim_blue,985159,2,2021-10-09 11:57:22,187,31/32,0.99,0.0,0.01,0.0
59,985159004,skinny_fit,,skinny_jeans,19.99,light_denim_blue,985159,4,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
60,985159005,skinny_fit,,skinny_jeans,19.99,dark_blue,985159,5,2021-10-09 11:57:22,187,32/32,1.0,0.0,0.0,0.0
61,985159006,skinny_fit,,skinny_jeans,19.99,dark_denim_blue,985159,6,2021-10-09 11:57:22,187,32/32,0.99,0.0,0.01,0.0
62,751994031,slim_fit,,slim_jeans,29.99,light_blue,751994,31,2021-10-09 11:57:22,187,31/32,0.99,0.0,0.01,0.0
63,751994001,slim_fit,,slim_jeans,11.99,dark_gray,751994,1,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
